X;X_suivant;Y;Y_suivant;T
96;114;146;153;1
114;136;153;161;2
136;159;161;171;3
159;186;171;181;4
186;215;181;193;5
215;246;193;206;6
246;281;206;219;7
281;317;219;234;8
317;357;234;250;9
357;399;250;267;10
399;443;267;284;11
443;491;284;303;12
491;540;303;323;13
540;593;323;344;14
