X;X_suivant;Y;Y_suivant;T
507;480;216;168;1
480;454;168;127;2
454;427;127;94;3
427;401;94;67;4
401;374;67;48;5
374;348;48;35;6
348;321;35;30;7
321;295;30;32;8
295;268;32;41;9
268;242;41;58;10
242;215;58;81;11
215;189;81;112;12
189;162;112;149;13
162;136;149;194;14
136;109;194;246;15
109;83;246;305;16
